行业,公司名称,企业介绍信息,招聘岗位,岗位JD（中文）,岗位JD（英文）,官网Link,实习时长和实习形式,底价-人民币,交付材料,是否Sponsor,是否注册公司邮箱,公司地址,,,,,,,,
金融/咨询,"Beryl Ventures 
/Berly Consulting
【限时促销】",Berly 集团成立于2004年，风投板块专注于为家族办公室和小型机构提供外包首席投资官服务。它依托专业团队和创新技术，在另类投资领域为客户提供定制化，综合性的投资管理解决方案。公司创始人，在投资管理领域经验丰富，曾任职于摩根斯坦利，创立过金融科技公司，在另类投资资产领域具有广泛技能，参与多个投资委员会，对各类投资策略都有涉足，开展过大量尽职调查工作，其公司也获得行业认可。该公司定期举办对思想领导力年度会议具有较大的影响力，也曾举办另类投资与另类数据&人工智能主题的会议，吸引了众多杰出人士参与。,全球市场与投资研究实习生 Global Market & Investment Research Internship,"岗位职责：
1、全球市场研究：与投资研究团队紧密协作，研究全球市场趋势、贸易政策及经济动态，收集并整理相关信息，为团队分析提供基础数据。
2、资产类别分析：对 hedge funds、私募股权、风险投资及数字资产等各类资产进行研究分析，追踪其表现及影响因素，形成初步的分析结论。
3、报告与模型辅助：协助准备市场报告、投资备忘录及财务模型，参与数据整理、图表制作等工作，确保材料的准确性和专业性。
4、内容创作支持：为 Beryl insights 及 Beryl Ventures 的数字平台提供内容创作支持，包括信息搜集、素材整理等，助力优质内容的产出。
5、金融科技探索：研究生成式人工智能（Gen AI）和智能代理系统（Agentic AI Systems）在金融市场中的应用，整理相关案例及前沿动态。
6、市场动态监测：监测美联储政策、通胀趋势及市场风险等重要信息，及时汇总并撰写简要分析，为团队决策提供参考。
7、教育内容协助：协助组织和推广教育内容，包括网络研讨会、专家分享等活动，参与前期筹备，信息发布及后续总结等工作。","Global Market & Investment Research Internship
Job Responsibilities:

-Global Market Research: Work closely with the investment research team to study global market trends, trade policies, and economic dynamics, collect and organize relevant information, and provide basic data for the team's analysis.
-Asset Class Analysis: Conduct research and analysis on various asset classes such as hedge funds, private equity, venture capital, and digital assets, track their performance and influencing factors, and form preliminary analysis conclusions.
-Report and Model Assistance: Assist in preparing market reports, investment memoranda, and financial models, participate in data collation, chart production, and other work to ensure the accuracy and professionalism of the materials.
-Content Creation Support: Provide content creation support for Beryl Insights and Beryl Ventures' digital platforms, including information collection and material organization, to help produce high-quality content.
-Fintech Exploration: Research the applications of Generative AI (Gen AI) and Agentic AI Systems in financial markets, and sort out relevant cases and cutting-edge developments.
-Market Dynamics Monitoring: Monitor important information such as Federal Reserve policies, inflation trends, and market risks, promptly summarize and write brief analyses to provide references for the team's decision-making.
-Educational Content Assistance: Assist in organizing and promoting educational content, including webinars, expert sharing sessions, and other activities, and participate in pre-preparation, information release, and follow-up summary work.",https://www.linkedin.com/company/the-beryl-consulting-group/

--------
https://www.berylconsulting.com/content/beryl-ventures,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,"470 7th Avenue, 4th Floor
New York, NY 10018

纽约",,,,,,,,
,,,数字资产实习生 Digital Assets Internship,"岗位职责：
1、数字资产数据收集与分析：从数字资产交易平台、区块链浏览器等渠道收集比特币、以太坊等各类数字资产的价格、交易量、持仓量等数据，进行清洗、整理和初步分析，追踪其市场表现与波动情况。
2、行业动态监测：关注数字资产领域的政策法规、技术创新（如 Layer2 解决方案、跨链技术等）、市场趋势及主要参与者动态，整理相关信息并形成简报，为团队了解行业发展提供支持。
3、风险与机会评估：协助分析数字资产投资中的潜在风险，如市场波动性、监管政策变化、技术安全等，同时挖掘新兴数字资产及相关项目的投资机会，提供初步评估意见。
4、内容整理与支持：收集整理数字资产领域专家观点，行业报告等资料，协助制作数字资产市场分析简报，为内部讨论和客户沟通提供素材。
5、数据可视化辅助：协助将数字资产相关数据转化为简洁明了的图表，如价格趋势折线图、交易量柱状图等，助力团队更直观地理解市场动态。","Digital Assets Internship
Job Responsibilities:
-Digital Asset Data Collection and Analysis: Collect data such as prices, trading volumes, and holdings of various digital assets like Bitcoin and Ethereum from digital asset trading platforms, blockchain browsers, and other channels. Clean, organize, and conduct preliminary analysis of the data to track their market performance and fluctuations.
-Industry Dynamics Monitoring: Pay attention to policies and regulations, technological innovations (such as Layer2 solutions, cross-chain technologies, etc.), market trends, and dynamics of major participants in the digital asset field. Organize relevant information and form briefings to support the team in understanding industry development.
-Risk and Opportunity Assessment: Assist in analyzing potential risks in digital asset investments, such as market volatility, changes in regulatory policies, and technical security. Meanwhile, identify investment opportunities in emerging digital assets and related projects and provide preliminary evaluation opinions.
-Content Collation and Support: Collect and sort out materials such as expert opinions and industry reports in the digital asset field. Assist in producing digital asset market analysis briefings to provide materials for internal discussions and client communications.
-Data Visualization Assistance: Help convert digital asset-related data into clear and concise charts, such as price trend line charts and trading volume bar charts, to assist the team in understanding market dynamics more intuitively.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
,,,运营尽职调查实习生Operational Due Diligence  Internship,"岗位职责：
1、尽职调查资料收集与整理：协助收集被调查对象（如基金公司、投资项目等）的运营相关资料，包括组织架构、业务流程、内部控制制度、合规记录等，按要求进行分类归档。
2、运营流程分析：参与分析被调查对象的核心运营流程，如交易执行、风险管理、财务核算等环节，识别其中可能存在的效率低下、合规风险等问题，形成初步分析记录。
3、数据核实与验证：协助对被调查对象提供的运营数据（如业务规模、人员配置、历史合规情况等）进行核实，对比相关文件与记录，确保数据的真实性和准确性。
4、尽调报告辅助撰写：根据收集的资料和分析结果，协助整理运营尽职调查的关键发现，为撰写尽调报告提供基础内容，包括存在的问题、风险点及改进建议等。
5、行业基准对比：收集同行业类似机构的运营标准和最佳实践，协助将被调查对象的运营情况与之进行对比分析，评估其运营水平和竞争力。","Operational Due Diligence Internship
Job Responsibilities:
Collection and Collation of Due Diligence Materials: Assist in collecting operation-related materials of the surveyed objects (such as fund companies, investment projects, etc.), including organizational structure, business processes, internal control systems, compliance records, etc., and classify and file them as required.
Operational Process Analysis: Participate in analyzing the core operational processes of the surveyed objects, such as transaction execution, risk management, financial accounting and other links, identify possible problems such as inefficiency and compliance risks, and form preliminary analysis records.
Data Verification and Validation: Assist in verifying the operational data provided by the surveyed objects (such as business scale, staffing, historical compliance status, etc.), compare relevant documents and records to ensure the authenticity and accuracy of the data.
Assistance in Writing Due Diligence Reports: Based on the collected materials and analysis results, assist in sorting out the key findings of operational due diligence, and provide basic content for writing due diligence reports, including existing problems, risk points and improvement suggestions, etc.
Industry Benchmark Comparison: Collect operational standards and best practices of similar institutions in the same industry, assist in comparing and analyzing the operational situation of the surveyed objects with them, and evaluate their operational level and competitiveness.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
,,,业务分析师实习生 Business Analyst Internship,"岗位职责：
1、市场研究：聚焦对冲基金、私募股权、风险投资及数字资产领域，收集相关市场数据，分析投资决策中的机遇与风险，对比竞争对手的策略，助力提升公司竞争优势。
2、战略支持：协助高级分析师制定投资策略，就不同资产提供见解。参与情景规划，综合考量经济、利率及技术等因素，评估策略并为战略调整提供支持。
3、业务流程分析：检查投资管理流程，找出交易来源、尽职调查等环节存在的低效问题，运用工具设计更高效的工作流程。
4、内容相关工作：观看Berly 投资相关视频并提取要点，整理专家观点，协助制作通讯简报。","Business Analyst Internship
Job Responsibilities:
-Market Research: Focus on the fields of hedge funds, private equity, venture capital and digital assets, collect relevant market data, analyze opportunities and risks in investment decisions, compare competitors' strategies, and help enhance the company's competitive advantages.
-Strategic Support: Assist senior analysts in formulating investment strategies and provide insights on different assets. Participate in scenario planning, comprehensively consider factors such as economy, interest rates and technology, evaluate strategies and provide support for strategic adjustments.
-Business Process Analysis: Examine investment management processes, identify inefficiencies in links such as deal sourcing and due diligence, and use tools to design more efficient workflows.
-Content-related Work: Watch Berly investment-related videos to extract key points, sort out experts' views, and assist in producing newsletters.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
,,,数据分析师实习生Data Analyst Internship,"岗位职责：
1、金融与市场数据分析:从金融数据库、交易平台等收集数据并清理分析。针对对冲基金、私募股权、风险投资和数字资产，研究业绩、风险、投资策略、交易流、财务状况等数据，为投资决策提供参考。
2、可视化报告制作:将复杂数据转化为条形图、折线图等可视化图表，为高级分析师等提供市场趋势和投资见解，比如制作对冲基金月度绩效看板。
3、趋势洞察:关注宏观经济、行业新闻和对手动态，挖掘新兴趋势，例如在风投领域识别可持续技术创业投资趋势，助力调整投资策略。
4、视频分析与引述提取:观看企业视频，抓取行业专家关键观点，为市场趋势和投资策略分析提供独特视角。
5、时事通讯撰写:结合分析数据、趋势和引述，创作内容，向内部及客户传递金融市场最新情况。","Data Analyst Internship
Job Responsibilities:
-Financial and Market Data Analysis: Collect data from financial databases, trading platforms, etc., then clean and analyze it. Conduct research on data such as performance, risks, investment strategies, transaction flows, and financial status targeting hedge funds, private equity, venture capital, and digital assets to provide references for investment decisions.
-Visual Report Production: Transform complex data into visual charts like bar charts and line charts, providing market trends and investment insights for senior analysts, such as creating monthly performance dashboards for hedge funds.
-Trend Insight: Pay attention to macroeconomics, industry news, and competitors' dynamics, explore emerging trends. For example, identify investment trends in sustainable technology startups in the venture capital field to help adjust investment strategies.
-Video Analysis and Quotation Extraction: Watch corporate videos, capture key viewpoints of industry experts, and provide unique perspectives for market trend and investment strategy analysis.
-Newsletter Writing: Create content by combining analyzed data, trends, and quotations to convey the latest situation of the financial market to internal staff and clients.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
,,,技术平台实习生-后端开发支持Technology Platform Intern-Back-End Development Support  Internship,"岗位职责：
1、数据库管理:协助设计、实施和优化数据库，以确保我们的市场平台生态系统能够高效地进行数据存储、检索以及保障数据安全。
2、API开发与集成:支持创建和维护应用程序编程接口(API)，使前端和后端组件之间能够实现无缝通信，并能与第三方数据提供者进行集成。
3、测试与调试:参与测试流程，识别并解决漏洞，为打造流畅的用户体验贡献力重。
4、文档记录:协助记录代码、流程以及技术决策，以支持团队协作和未来的开发工作。","Technology Platform Intern-Back-End Development Support
Job Responsibilities:
-Database Management: Assist in designing, implementing and optimizing databases to ensure that our market platform ecosystem can efficiently perform data storage, retrieval and ensure data security.
-API Development and Integration: Support the creation and maintenance of Application Programming Interfaces (APIs) to enable seamless communication between front-end and back-end components and integration with third-party data providers.
-Testing and Debugging: Participate in the testing process, identify and resolve vulnerabilities, and contribute to creating a smooth user experience.
-Documentation: Assist in documenting code, processes and technical decisions to support team collaboration and future development work.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
,,,平面设计师实习生 Graphic Designer Internship,"岗位职责：
1、设计素材收集与整理：收集各类设计相关素材，如图片、图标、字体等，按主题和用途进行分类管理，建立素材库，为设计工作提供支持。
2、宣传物料设计辅助：协助设计团队制作各类宣传物料，如活动海报、社交媒体配图、宣传手册内页等，根据需求进行版式布局、色彩搭配和元素组合。
3、设计文件处理：负责设计文件的初步处理，如格式转换、尺寸调整、分辨率优化等，确保文件符合印刷或线上发布的要求，同时协助进行文件归档和版本管理。
4、创意方案参与：参与设计创意讨论，根据项目需求提出自己的想法和建议，协助完善设计方案，使设计作品更贴合品牌调性和传播目标。
5、视觉一致性维护：协助检查各类设计作品在视觉元素（如 logo 使用、色彩体系、字体规范等）上的一致性，确保符合品牌视觉识别系统的要求。","Graphic Designer Internship
Job Responsibilities:
-Collection and Arrangement of Design Materials: Collect various design-related materials such as pictures, icons, fonts, etc., manage them by category according to themes and purposes, and establish a material library to support design work.
-Assistance in Designing Promotional Materials: Assist the design team in producing various promotional materials, such as event posters, social media images, inner pages of promotional brochures, etc. Carry out layout arrangement, color matching and element combination according to requirements.
-Design File Processing: Be responsible for the preliminary processing of design files, such as format conversion, size adjustment, resolution optimization, etc., to ensure that the files meet the requirements of printing or online publishing. At the same time, assist in file archiving and version management.
-Participation in Creative Schemes: Participate in design creative discussions, put forward own ideas and suggestions according to project needs, assist in improving design schemes, so that design works are more in line with brand tone and communication goals.
-Maintenance of Visual Consistency: Assist in checking the consistency of visual elements (such as logo usage, color system, font specifications, etc.) in various design works to ensure compliance with the requirements of the brand visual identity system.",,远程实习：4周/8周/12周,"远程实习：
4周14000元 / 8周17000元/12周20000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT（+100美金),否,,,,,,,,,
